iter	MultiClass
0	1.34663139
1	1.314096392
2	1.283526309
33	1.25870933
4	1.236733902
5	1.221834152
6	1.209016393
7	1.194166321
8	1.180451147
9	1.168026487
10	1.158397876
11	1.146844638
12	1.138886918
13	1.129367423
14	1.120783232
15	1.113305813
16	1.107553551
17	1.101973304
18	1.098926616
19	1.094855727
20	1.090106644
21	1.085313057
22	1.079766822
23	1.075283602
24	1.071593371
25	1.067750309
26	1.065618379
27	1.061523313
28	1.057981164
29	1.054902556
30	1.052252902
31	1.050038401
32	1.047039282
33	1.044926095
34	1.043259867
35	1.041060682
36	1.038102149
37	1.036919419
38	1.035128781
39	1.033566499
40	1.031284174
41	1.0299342	1.42	1.0277543	1.43	1.0257844	1.44	1.0235845	1.45	1.0226146	1.019126577
47	1.017915673
48	1.016303122
49	1.014351903
50	1.012080325
51	1.010049148
52	1.008677555
53	1.007616647
54	1.00604325
55	1.004709578
56	1.003866861
57	1.002122072
58	1.000900412
59	0.9998317308
60	0.9989171438
61	0.9976025462
62	0.996347705
63	0.9951574382
64	0.9941000934
65	0.9932457529
66	0.9914503699
67	0.9900560272
68	0.9891476821
69	0.9876156629
70	0.9867377691
71	0.9853197724
72	0.9844471698
73	0.9835456835
74	0.9816776094
75	0.9805961252
76	0.9795451753
77	0.9782004996
78	0.9769068953
79	0.9761171506
80	0.9752892832
81	0.9741400168
82	0.9728169993
83	0.9715504777
84	0.9707790298
85	0.969678457
86	0.9691292157
87	0.9677452372
88	0.9670912294
89	0.9664714552
90	0.9652612888
91	0.963212637
92	0.9622543907
93	0.9612776707
94	0.9604275771
95	0.9596347243
96	0.958260253
97	0.9570172195
98	0.9563219467
99	0.9553550963
100	0.9541097319
101	0.9532564981
102	0.951552409
103	0.9493940633
104	0.9478763992
105	0.9467325192
106	0.9450734522
107	0.9441605236
108	0.9435367528
109	0.9424925475
110	0.9416194382
111	0.9402372908
112	0.9387956094
113	0.9375872132
114	0.9362591045
115	0.9349561433
116	0.933735617
117	0.9329788603
118	0.9323032089
119	0.9313100288
120	0.9303949676
121	0.9290853843
122	0.9283208313
123	0.9275447243
124	0.9267320498
125	0.925964563
126	0.9253883897
127	0.9244029534
128	0.923593749
129	0.9228106947
130	0.9216887407
131	0.920908354
132	0.9200473192
133	0.9188164931
134	0.9181364825
135	0.9171122048
136	0.9158784393
137	0.9148317793
138	0.9139611078
139	0.9129704374
140	0.9124242701
141	0.9112779812
142	0.9106736592
143	0.9100586485
144	0.9091767311
145	0.9081269871
146	0.9070420347
147	0.9062085263
148	0.9051213226
149	0.9043104441
150	0.9035576436
151	0.9025820787
152	0.9015953424
153	0.9010106624
154	0.9003807962
155	0.8995660257
156	0.8987470921
157	0.8982038407
158	0.8975785125
159	0.8971830814
160	0.8965963468
161	0.8959092202
162	0.8950468924
163	0.8939019011
164	0.8930015671
165	0.8920326246
166	0.8913576107
167	0.8910453894
168	0.8904513633
169	0.8896712518
170	0.8888426852
171	0.8874704378
172	0.8870081086
173	0.8861868795
174	0.8856007026
175	0.8848653398
176	0.8843963788
177	0.8835770757
178	0.882512139
179	0.8810927616
180	0.8799416339
181	0.8794759201
182	0.8788421549
183	0.878149779
184	0.8774036852
185	0.8764848718
186	0.8751382632
187	0.8742333082
188	0.8734508934
189	0.8726108289
190	0.8717183989
191	0.8705544035
192	0.8698642849
193	0.8686959802
194	0.8681375963
195	0.8671923632
196	0.8664556244
197	0.8658138561
198	0.8653521364
199	0.8645594136
200	0.8638846914
201	0.8631579046
202	0.8624323035
203	0.8620008078
204	0.8613548317
205	0.8605135458
206	0.8597137458
207	0.8586520484
208	0.8580300887
209	0.8570786939
210	0.8563934471
211	0.8558670824
212	0.8552565327
213	0.8548226422
214	0.8541633284
215	0.8537466689
216	0.8531884374
217	0.8526503809
218	0.8522042952
219	0.8515303297
220	0.8510598851
221	0.8503105714
222	0.8497845697
223	0.8490262521
224	0.8484018855
225	0.8475182688
226	0.846739559
227	0.846084782
228	0.845280905
229	0.8449354066
230	0.8440800692
231	0.8432952449
232	0.842819134
233	0.8421719471
234	0.8417625841
235	0.8411051744
236	0.8403699233
237	0.8396592266
238	0.839213266
239	0.8385486288
240	0.8381377196
241	0.8377154429
242	0.8372436956
243	0.8365060033
244	0.8359259399
245	0.8353543767
246	0.8348206175
247	0.8343243401
248	0.8335481189
249	0.8326758528
250	0.8322098265
251	0.8316576495
252	0.8308268683
253	0.8303554223
254	0.8297797951
255	0.8289555984
256	0.8284766446
257	0.8278055416
258	0.8273487012
259	0.8269901159
260	0.8264155777
261	0.8256142518
262	0.8249733088
263	0.8246766151
264	0.8240714781
265	0.8233550837
266	0.8227610468
267	0.822141546
268	0.8218028114
269	0.8212393663
270	0.8204461316
271	0.8194572375
272	0.8188156156
273	0.8182538106
274	0.8176024121
275	0.8168304675
276	0.8162567329
277	0.8155896048
278	0.8152488446
279	0.814784621
280	0.8144172147
281	0.8140238679
282	0.8133044546
283	0.8127690386
284	0.8120913874
285	0.8116064553
286	0.8108539954
287	0.8101137461
288	0.8096851707
289	0.8093038721
290	0.8086770406
291	0.8076978314
292	0.8070644314
293	0.8067980324
294	0.8056141269
295	0.8051300115
296	0.8044427593
297	0.8039673482
298	0.8035657694
299	0.8032357452
300	0.8027210052
301	0.8022945406
302	0.8019513019
303	0.8013869665
304	0.800681245
305	0.8003478287
306	0.7995156509
307	0.7989106046
308	0.7985246196
309	0.7980806793
310	0.7978164383
311	0.7974292028
312	0.7967577051
313	0.7962830393
314	0.7958640101
315	0.7951261893
316	0.7947574054
317	0.7942821164
318	0.7937331249
319	0.7932866993
320	0.792580655
321	0.7919668529
322	0.7915444183
323	0.7911716507
324	0.7905925443
325	0.7898354573
326	0.7888120479
327	0.7881817058
328	0.7875720475
329	0.7869549589
330	0.7865444099
331	0.7859587131
332	0.7850725652
333	0.784373965
334	0.7835855624
335	0.7830651288
336	0.7825812738
337	0.7822985905
338	0.7815864835
339	0.7808761075
340	0.7804001989
341	0.7797460735
342	0.7792447205
343	0.7785500942
344	0.7780336699
345	0.7774983348
346	0.7770302441
347	0.7762860122
348	0.7758822162
349	0.7755426408
350	0.775115231
351	0.7748495631
352	0.7744762019
353	0.7741440816
354	0.7737776881
355	0.773294459
356	0.7727280767
357	0.7718795358
358	0.7710930566
359	0.7705767425
360	0.7702043875
361	0.7694672858
362	0.7688608378
363	0.7679846759
364	0.7675631768
365	0.7671581641
366	0.7667709557
367	0.7662883399
368	0.765818385
369	0.7653907597
370	0.7651898804
371	0.7645065637
372	0.7636046098
373	0.7631316802
374	0.7625518591
375	0.7616520563
376	0.7610424715
377	0.7604617878
378	0.7601177306
379	0.7595514019
380	0.7590302601
381	0.7585769777
382	0.7583070521
383	0.7580298633
384	0.7577317142
385	0.757163017
386	0.7568604228
387	0.7566298618
388	0.7559016161
389	0.7555307962
390	0.7551982452
391	0.7548874189
392	0.7545507143
393	0.7541488932
394	0.7534716818
395	0.7531644241
396	0.7526148653
397	0.7523788036
398	0.7517255936
399	0.7512083743
400	0.750799856
401	0.7504084791
402	0.7502175661
403	0.7497746299
404	0.7493398329
405	0.748975321
406	0.7483656436
407	0.7480933474
408	0.7478637482
409	0.7474806874
410	0.7471474995
411	0.746642633
412	0.7463931151
413	0.7461364141
414	0.7458315577
415	0.745330039
416	0.744680947
417	0.7444403963
418	0.7438091166
419	0.7434383085
420	0.7429705931
421	0.7425284254
422	0.7420604689
423	0.7415544151
424	0.7412483151
425	0.7410759467
426	0.7407387009
427	0.7402109565
428	0.7399493254
429	0.7391763082
430	0.7386628846
431	0.7382908354
432	0.7379244537
433	0.7376162447
434	0.737314222
435	0.7367761047
436	0.73638962
437	0.7360199863
438	0.7354369991
439	0.7350203568
440	0.7346335222
441	0.7342356156
442	0.733705896
443	0.7333490504
444	0.7329226283
445	0.7324041006
446	0.731819688
447	0.73146382
448	0.7310821564
449	0.7307523668
450	0.7304246803
451	0.7301745564
452	0.7298193271
453	0.729331745
454	0.7289648002
455	0.7284399496
456	0.7281245399
457	0.7275469864
458	0.7271766448
459	0.7266857489
460	0.7260135804
461	0.7256968318
462	0.7254826549
463	0.7252696505
464	0.7249712571
465	0.7245033225
466	0.7240154532
467	0.7235155285
468	0.7232293756
469	0.7227763987
470	0.7226143767
471	0.7218720568
472	0.7213582647
473	0.72097966
474	0.720541388
475	0.7200149208
476	0.7195650678
477	0.7189351836
478	0.7186801952
479	0.7182417411
480	0.7178840362
481	0.7176483194
482	0.7173805128
483	0.7171736665
484	0.7165624946
485	0.7159978898
486	0.7154776619
487	0.7151195306
488	0.7147447597
489	0.7143178404
490	0.7140168889
491	0.7137443974
492	0.713344492
493	0.7127234283
494	0.7123033372
495	0.7119860882
496	0.7115467606
497	0.7112404181
498	0.710697218
499	0.7104904434
500	0.7098807902
501	0.7096200841
502	0.7089967838
503	0.7084251398
504	0.7082875287
505	0.7079783198
506	0.707249447
507	0.707085926
508	0.7067235088
509	0.7063895983
510	0.7060056146
511	0.7057949571
512	0.7053823681
513	0.7048613881
514	0.7044873432
515	0.7039747416
516	0.7034033588
517	0.7026771619
518	0.7023068814
519	0.7020799423
520	0.7015962399
521	0.7011392291
522	0.7006858137
523	0.7002289529
524	0.6995257109
525	0.6991511577
526	0.6989004193
527	0.6984920237
528	0.6977835097
529	0.6975296141
530	0.6969023899
531	0.6967171707
532	0.6963002145
533	0.6959612973
534	0.6954922119
535	0.6949389697
536	0.694539231
537	0.6941094604
538	0.6936866998
539	0.6933477074
540	0.692978831
541	0.6927310749
542	0.6925453446
543	0.6923770796
544	0.6919044751
545	0.6913198713
546	0.6909820083
547	0.6908453973
548	0.6905685595
549	0.6904168437
550	0.6899884915
551	0.6894747095
552	0.6889039971
553	0.6883068418
554	0.6879999945
555	0.6876469173
556	0.6869360687
557	0.6866998415
558	0.6861346848
559	0.6856238035
560	0.6851454628
561	0.6848459491
562	0.6842711716
563	0.6836281194
564	0.6831972944
565	0.6829079257
566	0.6827370069
567	0.6821910111
568	0.6818648916
569	0.681168554
570	0.6809526306
571	0.6805399194
572	0.6802518916
573	0.6797705818
574	0.6796205712
575	0.6792021703
576	0.6787554727
577	0.6780095289
578	0.6775785532
579	0.6770364563
580	0.6764927567
581	0.6760790915
582	0.6758531874
583	0.6754459112
584	0.6751596659
585	0.6749576463
586	0.67470946
587	0.674246325
