iter	Passed	Remaining
0	156	156793
1	166	83261
2	182	60771
3	193	48173
4	205	40905
5	224	37236
6	235	33476
7	248	30788
8	260	28694
9	274	27140
10	284	25592
11	294	24278
12	309	23479
13	318	22448
14	330	21728
15	341	21025
16	351	20337
17	365	19946
18	374	19340
19	391	19172
20	399	18603
21	409	18219
22	422	17943
23	436	17769
24	452	17629
25	460	17242
26	473	17064
27	485	16839
28	495	16581
29	507	16424
30	518	16204
31	528	15974
32	540	15833
33	550	15648
34	566	15626
35	575	15409
36	588	15317
37	601	15223
38	614	15135
39	625	15004
40	633	14826
41	643	14688
42	653	14545
43	666	14489
44	682	14480
45	700	14526
46	728	14779
47	749	14874
48	781	15170
49	802	15254
50	812	15127
51	830	15137
52	842	15049
53	852	14937
54	863	14838
55	879	14826
56	893	14788
57	905	14711
58	921	14705
59	931	14600
60	946	14569
61	957	14488
62	974	14492
63	993	14527
64	1012	14565
65	1037	14678
66	1059	14753
67	1084	14867
68	1115	15053
69	1133	15053
70	1158	15158
71	1171	15101
72	1189	15103
73	1209	15131
74	1220	15054
75	1244	15129
76	1262	15132
77	1276	15085
78	1309	15266
79	1336	15365
80	1355	15382
81	1381	15461
82	1410	15586
83	1431	15610
84	1462	15745
85	1508	16034
86	1555	16327
87	1588	16463
88	1631	16698
89	1662	16812
90	1694	16923
91	1715	16929
92	1734	16913
93	1764	17004
94	1778	16946
95	1801	16967
96	1822	16963
97	1855	17082
98	1895	17249
99	1933	17403
100	1976	17590
101	2018	17769
102	2045	17809
103	2062	17770
104	2076	17700
105	2092	17649
106	2110	17613
107	2127	17571
108	2151	17589
109	2163	17501
110	2182	17479
111	2195	17411
112	2214	17384
113	2228	17318
114	2254	17353
115	2272	17316
116	2287	17264
117	2303	17219
118	2317	17154
119	2333	17109
120	2366	17189
121	2386	17173
122	2408	17170
123	2431	17179
124	2463	17246
125	2502	17360
126	2529	17389
127	2572	17525
128	2599	17554
129	2619	17527
130	2631	17456
131	2645	17393
132	2663	17365
133	2685	17353
134	2705	17333
135	2746	17451
136	2772	17464
137	2806	17533
138	2854	17679
139	2886	17732
140	2928	17841
141	2970	17950
142	3007	18021
143	3032	18028
144	3078	18150
145	3120	18255
146	3148	18270
147	3197	18406
148	3223	18410
149	3261	18481
150	3282	18454
151	3301	18418
152	3317	18365
153	3335	18321
154	3351	18271
155	3366	18212
156	3383	18169
157	3403	18135
158	3419	18084
159	3436	18039
160	3456	18012
161	3486	18033
162	3505	17999
163	3526	17976
164	3542	17928
165	3560	17886
166	3576	17839
167	3593	17798
168	3612	17764
169	3629	17718
170	3643	17665
171	3660	17621
172	3678	17585
173	3704	17585
174	3713	17506
175	3734	17482
176	3749	17433
177	3768	17403
178	3805	17455
179	3832	17459
180	3861	17472
181	3875	17419
182	3907	17446
183	3930	17429
184	3969	17485
185	3989	17460
186	4007	17424
187	4027	17396
188	4048	17372
189	4066	17335
190	4083	17296
191	4109	17294
192	4127	17258
193	4148	17234
194	4191	17304
195	4225	17331
196	4251	17330
197	4277	17325
198	4305	17330
199	4324	17299
200	4339	17249
201	4357	17216
202	4384	17214
203	4424	17263
204	4455	17280
205	4479	17267
206	4506	17262
207	4536	17273
208	4557	17247
209	4581	17236
210	4599	17197
211	4643	17260
212	4665	17238
213	4687	17215
214	4706	17184
215	4739	17202
216	4760	17175
217	4809	17253
218	4845	17278
219	4866	17252
220	4893	17248
221	4916	17231
222	4931	17182
223	4959	17182
224	4977	17144
225	5008	17154
226	5029	17125
227	5080	17200
228	5179	17437
229	5230	17509
230	5300	17645
231	5349	17709
232	5404	17791
233	5418	17736
234	5449	17738
235	5487	17765
236	5507	17731
237	5530	17707
238	5563	17713
239	5587	17693
240	5617	17692
241	5649	17694
242	5680	17697
243	5706	17680
244	5718	17621
245	5741	17599
246	5786	17639
247	5812	17623
248	5889	17764
249	5904	17712
250	5938	17719
251	5971	17725
252	5989	17683
253	5998	17618
254	6012	17565
255	6037	17545
256	6072	17555
257	6113	17582
258	6152	17601
259	6184	17601
260	6215	17598
261	6256	17624
262	6294	17639
263	6323	17630
264	6348	17608
265	6384	17617
266	6394	17556
267	6404	17492
268	6413	17428
269	6424	17368
270	6437	17318
271	6449	17262
272	6460	17203
273	6470	17144
274	6481	17088
275	6507	17070
276	6529	17041
277	6547	17005
278	6562	16959
279	6575	16908
280	6598	16883
281	6621	16859
282	6692	16955
283	6796	17134
284	6812	17090
285	6845	17091
286	6890	17117
287	6902	17065
288	6941	17078
289	6962	17045
290	6978	17003
291	6988	16945
292	7017	16934
293	7054	16939
294	7144	17074
295	7170	17053
296	7202	17049
297	7232	17036
298	7281	17070
299	7312	17063
300	7362	17098
301	7387	17073
302	7402	17027
303	7413	16972
304	7423	16916
305	7444	16883
306	7456	16832
307	7470	16784
308	7481	16730
309	7499	16692
310	7510	16639
311	7525	16594
312	7538	16545
313	7550	16495
314	7571	16465
315	7590	16430
316	7618	16415
317	7633	16372
318	7651	16333
319	7668	16294
320	7684	16254
321	7709	16232
322	7720	16182
323	7733	16135
324	7766	16131
325	7792	16110
326	7819	16093
327	7831	16045
328	7854	16019
329	7864	15967
330	7882	15930
331	7897	15889
332	7909	15841
333	7927	15808
334	7944	15769
335	7956	15723
336	7970	15680
337	7981	15631
338	8004	15607
339	8027	15583
340	8041	15540
341	8055	15498
342	8088	15494
343	8125	15495
